Far field
"Plane Wave Phi"[deg]	"Phi - 1Blade_SEP_lam8_Carbide [dBsm]"	"Phi - 1Blade_SEP_lam16_Carbide [dBsm]"	"Phi - 1Blade_SEP_lam20_Carbide [dBsm]"	"Phi - 1Blade_SEP_lam25_Carbide [dBsm]"	"Total - 1Blade_SEP_lam32_Carbide [dBsm]"	"Total - 1Blade_SEP_lam40_Carbide [dBsm]"	
-1.80000000E+02	-3.45421898E+01	-3.38413556E+01	-3.43749124E+01	-3.42404289E+01	-3.37651483E+01	-3.37023053E+01	
-1.79000000E+02	-3.44060518E+01	-3.38009797E+01	-3.42459045E+01	-3.41477374E+01	-3.37068743E+01	-3.36577538E+01	
-1.78000000E+02	-3.41973338E+01	-3.36544875E+01	-3.40279008E+01	-3.39613976E+01	-3.35569051E+01	-3.35173153E+01	
-1.77000000E+02	-3.39227679E+01	-3.34071775E+01	-3.37285361E+01	-3.36881307E+01	-3.33202204E+01	-3.32857420E+01	
-1.76000000E+02	-3.35900747E+01	-3.30679659E+01	-3.33572279E+01	-3.33368001E+01	-3.30040226E+01	-3.29702917E+01	
-1.75000000E+02	-3.32074350E+01	-3.26482149E+01	-3.29243312E+01	-3.29177442E+01	-3.26172005E+01	-3.25802838E+01	
-1.74000000E+02	-3.27830052E+01	-3.21605915E+01	-3.24404405E+01	-3.24419266E+01	-3.21697146E+01	-3.21261935E+01	
-1.73000000E+02	-3.23245810E+01	-3.16183444E+01	-3.19158912E+01	-3.19201896E+01	-3.16719209E+01	-3.16191773E+01	
-1.72000000E+02	-3.18393460E+01	-3.10341279E+01	-3.13602451E+01	-3.13629392E+01	-3.11340160E+01	-3.10701548E+01	
-1.71000000E+02	-3.13337511E+01	-3.04195806E+01	-3.07821331E+01	-3.07796085E+01	-3.05656298E+01	-3.04894399E+01	
-1.70000000E+02	-3.08134475E+01	-2.97849893E+01	-3.01891334E+01	-3.01785627E+01	-2.99755695E+01	-2.98865139E+01	
