Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.80000000E+02	-3.45421898E+01	-3.38413556E+01	-3.43749124E+01	-3.42404289E+01	-3.40183550E+01	-3.39476764E+01	-3.37942430E+01	-3.37383299E+01	-3.36753850E+01	
-1.79000000E+02	-3.44060518E+01	-3.38009797E+01	-3.42459045E+01	-3.41477374E+01	-3.39589322E+01	-3.39030563E+01	-3.37516104E+01	-3.36926971E+01	-3.36241742E+01	
-1.78000000E+02	-3.41973338E+01	-3.36544875E+01	-3.40279008E+01	-3.39613976E+01	-3.38020723E+01	-3.37566957E+01	-3.36004886E+01	-3.35367234E+01	-3.34602571E+01	
-1.77000000E+02	-3.39227679E+01	-3.34071775E+01	-3.37285361E+01	-3.36881307E+01	-3.35534727E+01	-3.35140026E+01	-3.33465700E+01	-3.32763630E+01	-3.31902452E+01	
-1.76000000E+02	-3.35900747E+01	-3.30679659E+01	-3.33572279E+01	-3.33368001E+01	-3.32214458E+01	-3.31833182E+01	-3.29994097E+01	-3.29212802E+01	-3.28242013E+01	
-1.75000000E+02	-3.32074350E+01	-3.26482149E+01	-3.29243312E+01	-3.29177442E+01	-3.28161628E+01	-3.27752769E+01	-3.25703494E+01	-3.24836510E+01	-3.23750421E+01	
-1.74000000E+02	-3.27830052E+01	-3.21605915E+01	-3.24404405E+01	-3.24419266E+01	-3.23488566E+01	-3.23016690E+01	-3.20731309E+01	-3.19772998E+01	-3.18572016E+01	
-1.73000000E+02	-3.23245810E+01	-3.16183444E+01	-3.19158912E+01	-3.19201896E+01	-3.18309850E+01	-3.17748079E+01	-3.15209975E+01	-3.14165282E+01	-3.12849104E+01	
-1.72000000E+02	-3.18393460E+01	-3.10341279E+01	-3.13602451E+01	-3.13629392E+01	-3.12736059E+01	-3.12065168E+01	-3.09273654E+01	-3.08142545E+01	-3.06721034E+01	
-1.71000000E+02	-3.13337511E+01	-3.04195806E+01	-3.07821331E+01	-3.07796085E+01	-3.06869456E+01	-3.06077354E+01	-3.03036314E+01	-3.01828331E+01	-3.00311462E+01	
-1.70000000E+02	-3.08134475E+01	-2.97849893E+01	-3.01891334E+01	-3.01785627E+01	-3.00801697E+01	-2.99883146E+01	-2.96608445E+01	-2.95329584E+01	-2.93727310E+01	
-1.69000000E+02	-3.02833108E+01	-2.91392360E+01	-2.95877312E+01	-2.95670530E+01	-2.94612413E+01	-2.93567283E+01	-2.90079782E+01	-2.88736441E+01	-2.87060223E+01	
-1.68000000E+02	-2.97474913E+01	-2.84897768E+01	-2.89833718E+01	-2.89511956E+01	-2.88368838E+01	-2.87201068E+01	-2.83520828E+01	-2.82124316E+01	-2.80384734E+01	
-1.67000000E+02	-2.92094731E+01	-2.78427497E+01	-2.83806586E+01	-2.83361922E+01	-2.82127743E+01	-2.80844496E+01	-2.76995257E+01	-2.75554936E+01	-2.73761909E+01	
-1.66000000E+02	-2.86722158E+01	-2.72030578E+01	-2.77833932E+01	-2.77262641E+01	-2.75935904E+01	-2.74546557E+01	-2.70553834E+01	-2.69076639E+01	-2.67240805E+01	
-1.65000000E+02	-2.81382095E+01	-2.65748080E+01	-2.71947283E+01	-2.71249437E+01	-2.69832468E+01	-2.68347308E+01	-2.64234074E+01	-2.62728828E+01	-2.60860596E+01	
-1.64000000E+02	-2.76095856E+01	-2.59612792E+01	-2.66172759E+01	-2.65352165E+01	-2.63849088E+01	-2.62280411E+01	-2.58069960E+01	-2.56543791E+01	-2.54652362E+01	
-1.63000000E+02	-2.70881964E+01	-2.53650819E+01	-2.60532699E+01	-2.59594756E+01	-2.58012455E+01	-2.56372303E+01	-2.52089075E+01	-2.50548481E+01	-2.48640983E+01	
-1.62000000E+02	-2.65757430E+01	-2.47884840E+01	-2.55045760E+01	-2.53998787E+01	-2.52345332E+01	-2.50645492E+01	-2.46310557E+01	-2.44762866E+01	-2.42846255E+01	
-1.61000000E+02	-2.60738121E+01	-2.42333403E+01	-2.49729363E+01	-2.48581875E+01	-2.46865869E+01	-2.45119267E+01	-2.40753856E+01	-2.39204168E+01	-2.37286485E+01	
-1.60000000E+02	-2.55839316E+01	-2.37011954E+01	-2.44598657E+01	-2.43360820E+01	-2.41592714E+01	-2.39811133E+01	-2.35432151E+01	-2.33887076E+01	-2.31975610E+01	
