Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.80000000E+02	-4.64194954E+01	-4.62166741E+01	-4.63109024E+01	-4.62846013E+01	-4.62342269E+01	-4.63040219E+01	-4.61684697E+01	-4.61183213E+01	-4.60514802E+01	
-1.79000000E+02	-4.63645031E+01	-4.61687489E+01	-4.62523039E+01	-4.62389722E+01	-4.61951343E+01	-4.62606514E+01	-4.61169128E+01	-4.60620125E+01	-4.59895294E+01	
-1.78000000E+02	-4.63142448E+01	-4.61270488E+01	-4.61991585E+01	-4.61991935E+01	-4.61621330E+01	-4.62234130E+01	-4.60713703E+01	-4.60119612E+01	-4.59336670E+01	
-1.77000000E+02	-4.62691864E+01	-4.60921656E+01	-4.61518752E+01	-4.61658339E+01	-4.61359090E+01	-4.61929053E+01	-4.60326365E+01	-4.59686789E+01	-4.58846996E+01	
-1.76000000E+02	-4.62299212E+01	-4.60646975E+01	-4.61110304E+01	-4.61394596E+01	-4.61170650E+01	-4.61698763E+01	-4.60015600E+01	-4.59329596E+01	-4.58432152E+01	
-1.75000000E+02	-4.61972147E+01	-4.60455243E+01	-4.60773697E+01	-4.61208139E+01	-4.61064370E+01	-4.61550666E+01	-4.59784994E+01	-4.59053038E+01	-4.58098816E+01	
-1.74000000E+02	-4.61719323E+01	-4.60353857E+01	-4.60516466E+01	-4.61107705E+01	-4.61048480E+01	-4.61493125E+01	-4.59645811E+01	-4.58866617E+01	-4.57855993E+01	
-1.73000000E+02	-4.61551174E+01	-4.60352941E+01	-4.60349306E+01	-4.61102560E+01	-4.61133326E+01	-4.61536539E+01	-4.59608077E+01	-4.58782021E+01	-4.57710323E+01	
-1.72000000E+02	-4.61479250E+01	-4.60462072E+01	-4.60282266E+01	-4.61204009E+01	-4.61329276E+01	-4.61690642E+01	-4.59680566E+01	-4.58803102E+01	-4.57671767E+01	
-1.71000000E+02	-4.61516595E+01	-4.60691976E+01	-4.60327201E+01	-4.61424253E+01	-4.61648160E+01	-4.61966113E+01	-4.59868520E+01	-4.58942863E+01	-4.57749717E+01	
-1.70000000E+02	-4.61677140E+01	-4.61053994E+01	-4.60497667E+01	-4.61775821E+01	-4.62102848E+01	-4.62376501E+01	-4.60187470E+01	-4.59212185E+01	-4.57953359E+01	
