Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	
-1.80000000E+02	-4.64217828E+01	-4.62169006E+01	-4.63106794E+01	-4.62845227E+01	-4.62344132E+01	-4.63044633E+01	
-1.79000000E+02	-4.63667471E+01	-4.61689956E+01	-4.62520755E+01	-4.62389211E+01	-4.61952932E+01	-4.62611514E+01	
-1.78000000E+02	-4.63164396E+01	-4.61272988E+01	-4.61989001E+01	-4.61991641E+01	-4.61623135E+01	-4.62238460E+01	
-1.77000000E+02	-4.62713386E+01	-4.60923330E+01	-4.61516201E+01	-4.61658156E+01	-4.61360768E+01	-4.61933876E+01	
-1.76000000E+02	-4.62320402E+01	-4.60649002E+01	-4.61107926E+01	-4.61394572E+01	-4.61172581E+01	-4.61703568E+01	
-1.75000000E+02	-4.61992931E+01	-4.60457237E+01	-4.60771272E+01	-4.61208254E+01	-4.61066338E+01	-4.61555634E+01	
-1.74000000E+02	-4.61739676E+01	-4.60356247E+01	-4.60514616E+01	-4.61107964E+01	-4.61050781E+01	-4.61498347E+01	
-1.73000000E+02	-4.61571219E+01	-4.60355300E+01	-4.60346960E+01	-4.61103147E+01	-4.61136068E+01	-4.61541588E+01	
-1.72000000E+02	-4.61498610E+01	-4.60464354E+01	-4.60279794E+01	-4.61204917E+01	-4.61332314E+01	-4.61694681E+01	
-1.71000000E+02	-4.61535355E+01	-4.60694164E+01	-4.60324532E+01	-4.61425361E+01	-4.61651605E+01	-4.61971606E+01	
-1.70000000E+02	-4.61695411E+01	-4.61056023E+01	-4.60495560E+01	-4.61777403E+01	-4.62106083E+01	-4.62382088E+01	
-1.69000000E+02	-4.61993853E+01	-4.61562872E+01	-4.60805562E+01	-4.62275163E+01	-4.62710408E+01	-4.62939649E+01	
-1.68000000E+02	-4.62447199E+01	-4.62226297E+01	-4.61270501E+01	-4.62933814E+01	-4.63477949E+01	-4.63657728E+01	
-1.67000000E+02	-4.63072374E+01	-4.63058588E+01	-4.61905061E+01	-4.63769058E+01	-4.64423570E+01	-4.64551001E+01	
-1.66000000E+02	-4.63887097E+01	-4.64074437E+01	-4.62726591E+01	-4.64797583E+01	-4.65562344E+01	-4.65633231E+01	
-1.65000000E+02	-4.64909815E+01	-4.65286407E+01	-4.63752632E+01	-4.66035483E+01	-4.66910558E+01	-4.66918611E+01	
-1.64000000E+02	-4.66159640E+01	-4.66705715E+01	-4.64999547E+01	-4.67499610E+01	-4.68482776E+01	-4.68419423E+01	
-1.63000000E+02	-4.67655195E+01	-4.68343596E+01	-4.66487186E+01	-4.69207796E+01	-4.70292515E+01	-4.70152233E+01	
-1.62000000E+02	-4.69415653E+01	-4.70212879E+01	-4.68225204E+01	-4.71175541E+01	-4.72355474E+01	-4.72126524E+01	
-1.61000000E+02	-4.71459588E+01	-4.72317656E+01	-4.70235855E+01	-4.73416276E+01	-4.74679627E+01	-4.74351645E+01	
-1.60000000E+02	-4.73803609E+01	-4.74664961E+01	-4.72532102E+01	-4.75945440E+01	-4.77275758E+01	-4.76834952E+01	
-1.59000000E+02	-4.76463670E+01	-4.77253046E+01	-4.75125572E+01	-4.78769767E+01	-4.80149714E+01	-4.79579610E+01	
-1.58000000E+02	-4.79452170E+01	-4.80078989E+01	-4.78027297E+01	-4.81897466E+01	-4.83296608E+01	-4.82577381E+01	
-1.57000000E+02	-4.82777629E+01	-4.83128024E+01	-4.81236133E+01	-4.85324988E+01	-4.86704368E+01	-4.85821007E+01	
-1.56000000E+02	-4.86441034E+01	-4.86374550E+01	-4.84755643E+01	-4.89043329E+01	-4.90357562E+01	-4.89285905E+01	
-1.55000000E+02	-4.90434338E+01	-4.89787883E+01	-4.88569842E+01	-4.93025875E+01	-4.94211356E+01	-4.92932060E+01	
-1.54000000E+02	-4.94735709E+01	-4.93313776E+01	-4.92652254E+01	-4.97237602E+01	-4.98216720E+01	-4.96708177E+01	
-1.53000000E+02	-4.99305010E+01	-4.96884185E+01	-4.96961567E+01	-5.01610633E+01	-5.02289901E+01	-5.00536642E+01	
-1.52000000E+02	-5.04076422E+01	-5.00411214E+01	-5.01431635E+01	-5.06056305E+01	-5.06324412E+01	-5.04322288E+01	
-1.51000000E+02	-5.08954076E+01	-5.03794545E+01	-5.05970892E+01	-5.10455058E+01	-5.10186470E+01	-5.07939188E+01	
-1.50000000E+02	-5.13802579E+01	-5.06919990E+01	-5.10449982E+01	-5.14655678E+01	-5.13727899E+01	-5.11256479E+01	
-1.49000000E+02	-5.18450402E+01	-5.09663197E+01	-5.14728926E+01	-5.18481831E+01	-5.16785277E+01	-5.14132515E+01	
-1.48000000E+02	-5.22693418E+01	-5.11916063E+01	-5.18620459E+01	-5.21751105E+01	-5.19213313E+01	-5.16441810E+01	
-1.47000000E+02	-5.26318994E+01	-5.13600463E+01	-5.21963278E+01	-5.24305429E+01	-5.20895982E+01	-5.18095303E+01	
-1.46000000E+02	-5.29135845E+01	-5.14681300E+01	-5.24596139E+01	-5.26027365E+01	-5.21795693E+01	-5.19034343E+01	
-1.45000000E+02	-5.31019965E+01	-5.15163823E+01	-5.26419317E+01	-5.26889659E+01	-5.21935846E+01	-5.19292375E+01	
-1.44000000E+02	-5.31942858E+01	-5.15098156E+01	-5.27419014E+01	-5.26946424E+01	-5.21417201E+01	-5.18946869E+01	
-1.43000000E+02	-5.31986023E+01	-5.14589009E+01	-5.27649649E+01	-5.26317933E+01	-5.20370052E+01	-5.18111096E+01	
-1.42000000E+02	-5.31313429E+01	-5.13735088E+01	-5.27239494E+01	-5.25177981E+01	-5.18970224E+01	-5.16939300E+01	
-1.41000000E+02	-5.30141946E+01	-5.12670137E+01	-5.26360809E+01	-5.23722161E+01	-5.17379364E+01	-5.15553738E+01	
-1.40000000E+02	-5.28692953E+01	-5.11508249E+01	-5.25199416E+01	-5.22116263E+01	-5.15731649E+01	-5.14102854E+01	
-1.39000000E+02	-5.27170659E+01	-5.10355078E+01	-5.23921153E+01	-5.20520271E+01	-5.14162427E+01	-5.12687589E+01	
-1.38000000E+02	-5.25742461E+01	-5.09296407E+01	-5.22686639E+01	-5.19053044E+01	-5.12764733E+01	-5.11411763E+01	
-1.37000000E+02	-5.24539824E+01	-5.08421981E+01	-5.21601097E+01	-5.17807006E+01	-5.11610007E+01	-5.10352532E+01	
-1.36000000E+02	-5.23660427E+01	-5.07783415E+01	-5.20767771E+01	-5.16863864E+01	-5.10762908E+01	-5.09564344E+01	
-1.35000000E+02	-5.23176422E+01	-5.07467141E+01	-5.20260123E+01	-5.16274915E+01	-5.10281996E+01	-5.09121925E+01	
-1.34000000E+02	-5.23144828E+01	-5.07519038E+01	-5.20145244E+01	-5.16098902E+01	-5.10201236E+01	-5.09064635E+01	
-1.33000000E+02	-5.23614939E+01	-5.08018965E+01	-5.20480874E+01	-5.16386528E+01	-5.10595173E+01	-5.09461745E+01	
-1.32000000E+02	-5.24637683E+01	-5.09041602E+01	-5.21338335E+01	-5.17201989E+01	-5.11516470E+01	-5.10395816E+01	
-1.31000000E+02	-5.26268513E+01	-5.10683460E+01	-5.22784621E+01	-5.18610249E+01	-5.13045421E+01	-5.11936342E+01	
-1.30000000E+02	-5.28580163E+01	-5.13070708E+01	-5.24916227E+01	-5.20712540E+01	-5.15289730E+01	-5.14201326E+01	
-1.29000000E+02	-5.31666116E+01	-5.16330854E+01	-5.27843165E+01	-5.23627964E+01	-5.18370757E+01	-5.17320115E+01	
-1.28000000E+02	-5.35651791E+01	-5.20664145E+01	-5.31718194E+01	-5.27500443E+01	-5.22449741E+01	-5.21473486E+01	
-1.27000000E+02	-5.40700561E+01	-5.26295501E+01	-5.36718397E+01	-5.32535530E+01	-5.27745077E+01	-5.26887688E+01	
-1.26000000E+02	-5.47032000E+01	-5.33551088E+01	-5.43112182E+01	-5.38999162E+01	-5.34549865E+01	-5.33858501E+01	
-1.25000000E+02	-5.54946828E+01	-5.42872882E+01	-5.51216059E+01	-5.47251729E+01	-5.43245658E+01	-5.42806926E+01	
-1.24000000E+02	-5.64849399E+01	-5.54926060E+01	-5.61500683E+01	-5.57803677E+01	-5.54415865E+01	-5.54337608E+01	
-1.23000000E+02	-5.77316847E+01	-5.70739971E+01	-5.74605389E+01	-5.71406733E+01	-5.68934004E+01	-5.69403014E+01	
-1.22000000E+02	-5.93150131E+01	-5.92074081E+01	-5.91423463E+01	-5.89234416E+01	-5.88277546E+01	-5.89599303E+01	
-1.21000000E+02	-6.13379363E+01	-6.22102263E+01	-6.13008436E+01	-6.13088932E+01	-6.15028926E+01	-6.17712901E+01	
-1.20000000E+02	-6.38468153E+01	-6.64392829E+01	-6.38930798E+01	-6.44724045E+01	-6.53003991E+01	-6.57720686E+01	
-1.19000000E+02	-6.62673090E+01	-6.87700620E+01	-6.58277099E+01	-6.74511672E+01	-6.91230784E+01	-6.90310083E+01	
-1.18000000E+02	-6.63022751E+01	-6.43950392E+01	-6.47221371E+01	-6.60487636E+01	-6.63271147E+01	-6.53848201E+01	
-1.17000000E+02	-6.36916138E+01	-6.02280253E+01	-6.17896934E+01	-6.22782369E+01	-6.18294909E+01	-6.10311706E+01	
-1.16000000E+02	-6.08260475E+01	-5.72107537E+01	-5.90264832E+01	-5.91155279E+01	-5.85181760E+01	-5.78635844E+01	
-1.15000000E+02	-5.84372988E+01	-5.49331238E+01	-5.67651611E+01	-5.66721336E+01	-5.60545455E+01	-5.54892468E+01	
-1.14000000E+02	-5.65040408E+01	-5.31368598E+01	-5.49289320E+01	-5.47421024E+01	-5.41362127E+01	-5.36291965E+01	
-1.13000000E+02	-5.49236781E+01	-5.16773293E+01	-5.34176666E+01	-5.31777423E+01	-5.25897002E+01	-5.21253472E+01	
-1.12000000E+02	-5.36122753E+01	-5.04662378E+01	-5.21550084E+01	-5.18831392E+01	-5.13166961E+01	-5.08827655E+01	
-1.11000000E+02	-5.25096375E+01	-4.94475665E+01	-5.10884613E+01	-5.07953768E+01	-5.02500239E+01	-4.98403098E+01	
-1.10000000E+02	-5.15722217E+01	-4.85810800E+01	-5.01788867E+01	-4.98708767E+01	-4.93457677E+01	-4.89554015E+01	
