Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.80000000E+02	-2.72879452E+01	-2.90346070E+01	-2.88028639E+01	-2.85538129E+01	-2.79134434E+01	-2.77437962E+01	-2.73880908E+01	
-1.79000000E+02	-2.69857081E+01	-2.86971034E+01	-2.84758809E+01	-2.82284608E+01	-2.75914698E+01	-2.74298071E+01	-2.70825046E+01	
-1.78000000E+02	-2.64646249E+01	-2.82361423E+01	-2.79970130E+01	-2.77424243E+01	-2.70839613E+01	-2.69200648E+01	-2.65638963E+01	
-1.77000000E+02	-2.57613106E+01	-2.76757567E+01	-2.73950938E+01	-2.71261868E+01	-2.64252528E+01	-2.62496271E+01	-2.58686259E+01	
-1.76000000E+02	-2.49231640E+01	-2.70398065E+01	-2.67002817E+01	-2.64122569E+01	-2.56545353E+01	-2.54600977E+01	-2.50425741E+01	
-1.75000000E+02	-2.39976950E+01	-2.63500151E+01	-2.59406632E+01	-2.56310921E+01	-2.48094253E+01	-2.45919106E+01	-2.41315394E+01	
-1.74000000E+02	-2.30254720E+01	-2.56249507E+01	-2.51403980E+01	-2.48089083E+01	-2.39219146E+01	-2.36796303E+01	-2.31742258E+01	
-1.73000000E+02	-2.20374788E+01	-2.48800359E+01	-2.43191557E+01	-2.39667331E+01	-2.30171088E+01	-2.27502721E+01	-2.22011148E+01	
-1.72000000E+02	-2.10564431E+01	-2.41276614E+01	-2.34923979E+01	-2.31209060E+01	-2.21137660E+01	-2.18237131E+01	-2.12336978E+01	
-1.71000000E+02	-2.00975729E+01	-2.33776698E+01	-2.26720235E+01	-2.22836815E+01	-2.12253837E+01	-2.09141150E+01	-2.02871758E+01	
-1.70000000E+02	-1.91713068E+01	-2.26379344E+01	-2.18671114E+01	-2.14643301E+01	-2.03616173E+01	-2.00314029E+01	-1.93720247E+01	
-1.69000000E+02	-1.82845347E+01	-2.19148219E+01	-2.10847179E+01	-2.06698513E+01	-1.95293782E+01	-1.91825257E+01	-1.84948132E+01	
-1.68000000E+02	-1.74420081E+01	-2.12136366E+01	-2.03304099E+01	-1.99056793E+01	-1.87336667E+01	-1.83724925E+01	-1.76605793E+01	
-1.67000000E+02	-1.66470982E+01	-2.05389736E+01	-1.96088139E+01	-1.91762277E+01	-1.79784262E+01	-1.76050726E+01	-1.68726989E+01	
-1.66000000E+02	-1.59024240E+01	-1.98949979E+01	-1.89239402E+01	-1.84852876E+01	-1.72669561E+01	-1.68833960E+01	-1.61339455E+01	
-1.65000000E+02	-1.52103622E+01	-1.92856682E+01	-1.82795153E+01	-1.78363751E+01	-1.66021762E+01	-1.62102398E+01	-1.54468559E+01	
-1.64000000E+02	-1.45732764E+01	-1.87148302E+01	-1.76791728E+01	-1.72328927E+01	-1.59869797E+01	-1.55883466E+01	-1.48138697E+01	
-1.63000000E+02	-1.39937325E+01	-1.81865208E+01	-1.71265903E+01	-1.66783294E+01	-1.54244121E+01	-1.50205995E+01	-1.42376031E+01	
-1.62000000E+02	-1.34744497E+01	-1.77048939E+01	-1.66256291E+01	-1.61764279E+01	-1.49177092E+01	-1.45101017E+01	-1.37207615E+01	
-1.61000000E+02	-1.30186656E+01	-1.72743799E+01	-1.61804745E+01	-1.57311481E+01	-1.44705464E+01	-1.40603729E+01	-1.32668005E+01	
-1.60000000E+02	-1.26301222E+01	-1.68997746E+01	-1.57957064E+01	-1.53468926E+01	-1.40869603E+01	-1.36753714E+01	-1.28794667E+01	
-1.59000000E+02	-1.23129283E+01	-1.65862788E+01	-1.54763017E+01	-1.50285470E+01	-1.37715405E+01	-1.33595822E+01	-1.25630113E+01	
-1.58000000E+02	-1.20720321E+01	-1.63395527E+01	-1.52277658E+01	-1.47815340E+01	-1.35294447E+01	-1.31180738E+01	-1.23223188E+01	
-1.57000000E+02	-1.19129536E+01	-1.61657846E+01	-1.50562004E+01	-1.46118380E+01	-1.33664376E+01	-1.29565746E+01	-1.21629518E+01	
-1.56000000E+02	-1.18419912E+01	-1.60717729E+01	-1.49684287E+01	-1.45261980E+01	-1.32890633E+01	-1.28815809E+01	-1.20911933E+01	
-1.55000000E+02	-1.18661760E+01	-1.60650075E+01	-1.49719655E+01	-1.45320367E+01	-1.33046657E+01	-1.29003591E+01	-1.21143206E+01	
-1.54000000E+02	-1.19936743E+01	-1.61536455E+01	-1.50751966E+01	-1.46377969E+01	-1.34215252E+01	-1.30211838E+01	-1.22404254E+01	
-1.53000000E+02	-1.22336081E+01	-1.63466747E+01	-1.52874801E+01	-1.48526786E+01	-1.36489389E+01	-1.32533762E+01	-1.24786753E+01	
-1.52000000E+02	-1.25963078E+01	-1.66538190E+01	-1.56191205E+01	-1.51871305E+01	-1.39972921E+01	-1.36073878E+01	-1.28393979E+01	
-1.51000000E+02	-1.30931680E+01	-1.70854244E+01	-1.60813834E+01	-1.56524679E+01	-1.44781178E+01	-1.40948778E+01	-1.33341467E+01	
-1.50000000E+02	-1.37368038E+01	-1.76520257E+01	-1.66861586E+01	-1.62608030E+01	-1.51039585E+01	-1.47285664E+01	-1.39755823E+01	
-1.49000000E+02	-1.45405882E+01	-1.83631861E+01	-1.74450872E+01	-1.70242562E+01	-1.58876632E+01	-1.55217671E+01	-1.47769829E+01	
-1.48000000E+02	-1.55168826E+01	-1.92249813E+01	-1.83674655E+01	-1.79530665E+01	-1.68410612E+01	-1.64869198E+01	-1.57509533E+01	
-1.47000000E+02	-1.66743165E+01	-2.02346280E+01	-1.94551360E+01	-1.90509188E+01	-1.79708552E+01	-1.76319287E+01	-1.69059216E+01	
-1.46000000E+02	-1.80098368E+01	-2.13696478E+01	-2.06919003E+01	-2.03051748E+01	-1.92700450E+01	-1.89517502E+01	-1.82384279E+01	
-1.45000000E+02	-1.94921032E+01	-2.25690315E+01	-2.20227533E+01	-2.16668701E+01	-2.06996015E+01	-2.04108246E+01	-1.97167678E+01	
-1.44000000E+02	-2.10323700E+01	-2.37101585E+01	-2.33237379E+01	-2.30203671E+01	-2.21577062E+01	-2.19107017E+01	-2.12494115E+01	
-1.43000000E+02	-2.24487221E+01	-2.46104109E+01	-2.43902554E+01	-2.41642007E+01	-2.34503448E+01	-2.32570188E+01	-2.26519944E+01	
-1.42000000E+02	-2.34878596E+01	-2.51068199E+01	-2.50161411E+01	-2.48778636E+01	-2.43349782E+01	-2.41961252E+01	-2.36703246E+01	
-1.41000000E+02	-2.39851283E+01	-2.51851252E+01	-2.51595944E+01	-2.50919279E+01	-2.46918508E+01	-2.45888554E+01	-2.41435319E+01	
-1.40000000E+02	-2.40166394E+01	-2.49952342E+01	-2.49846779E+01	-2.49571415E+01	-2.46409200E+01	-2.45474315E+01	-2.41566268E+01	
-1.39000000E+02	-2.38056552E+01	-2.47281362E+01	-2.47095140E+01	-2.46976495E+01	-2.44122825E+01	-2.43084516E+01	-2.39369546E+01	
-1.38000000E+02	-2.35274560E+01	-2.45168080E+01	-2.44772809E+01	-2.44666840E+01	-2.41726304E+01	-2.40455365E+01	-2.36611728E+01	
-1.37000000E+02	-2.32512591E+01	-2.44198118E+01	-2.43399372E+01	-2.43206188E+01	-2.39822803E+01	-2.38212028E+01	-2.33962363E+01	
-1.36000000E+02	-2.29723265E+01	-2.44382613E+01	-2.42839887E+01	-2.42465161E+01	-2.38264378E+01	-2.36219783E+01	-2.31357199E+01	
-1.35000000E+02	-2.26670404E+01	-2.45321972E+01	-2.42589462E+01	-2.41939216E+01	-2.36589490E+01	-2.34064929E+01	-2.28512282E+01	
-1.34000000E+02	-2.23327055E+01	-2.46352106E+01	-2.42050117E+01	-2.41065808E+01	-2.34432340E+01	-2.31472634E+01	-2.25339984E+01	
-1.33000000E+02	-2.20024864E+01	-2.46757251E+01	-2.40827230E+01	-2.39534916E+01	-2.31796138E+01	-2.28548707E+01	-2.22116796E+01	
-1.32000000E+02	-2.17337422E+01	-2.46086503E+01	-2.38950892E+01	-2.37472817E+01	-2.29096603E+01	-2.25768066E+01	-2.19398879E+01	
-1.31000000E+02	-2.15880613E+01	-2.44409256E+01	-2.36866287E+01	-2.35388593E+01	-2.26969885E+01	-2.23764602E+01	-2.17800901E+01	
-1.30000000E+02	-2.16157382E+01	-2.42302497E+01	-2.35234468E+01	-2.33950374E+01	-2.26046638E+01	-2.23128934E+01	-2.17845021E+01	
-1.29000000E+02	-2.18497257E+01	-2.40588346E+01	-2.34709862E+01	-2.33786134E+01	-2.26822710E+01	-2.24303954E+01	-2.19888439E+01	
-1.28000000E+02	-2.23055415E+01	-2.40053722E+01	-2.35813298E+01	-2.35373985E+01	-2.29624379E+01	-2.27563420E+01	-2.24107919E+01	
-1.27000000E+02	-2.29800901E+01	-2.41294961E+01	-2.38894066E+01	-2.39026298E+01	-2.34615771E+01	-2.33019069E+01	-2.30509427E+01	
-1.26000000E+02	-2.38508865E+01	-2.44661914E+01	-2.44097362E+01	-2.44864830E+01	-2.41786183E+01	-2.40614900E+01	-2.38918907E+01	
-1.25000000E+02	-2.48731846E+01	-2.50202274E+01	-2.51305403E+01	-2.52754508E+01	-2.50897639E+01	-2.50074623E+01	-2.48934819E+01	
-1.24000000E+02	-2.59793425E+01	-2.57553112E+01	-2.59986782E+01	-2.62153853E+01	-2.61370537E+01	-2.60812468E+01	-2.59923378E+01	
-1.23000000E+02	-2.70913537E+01	-2.65805392E+01	-2.69058190E+01	-2.71946917E+01	-2.72184619E+01	-2.71870353E+01	-2.71057961E+01	
-1.22000000E+02	-2.81438896E+01	-2.73595708E+01	-2.77044079E+01	-2.80588646E+01	-2.82036483E+01	-2.82074007E+01	-2.81553638E+01	
-1.21000000E+02	-2.91132665E+01	-2.79829857E+01	-2.82944990E+01	-2.86984445E+01	-2.90034225E+01	-2.90612820E+01	-2.91011163E+01	
-1.20000000E+02	-3.00249915E+01	-2.84786469E+01	-2.87300752E+01	-2.91638324E+01	-2.96538713E+01	-2.97744028E+01	-2.99665598E+01	
