Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.80000000E+02	-4.37518282E+01	-4.70625175E+01	-4.61240648E+01	-4.54994531E+01	-4.44301324E+01	-4.43021617E+01	-4.38812016E+01	
-1.79000000E+02	-4.39273970E+01	-4.73838535E+01	-4.64529201E+01	-4.58011518E+01	-4.46455887E+01	-4.45020607E+01	-4.40580055E+01	
-1.78000000E+02	-4.41494112E+01	-4.77747924E+01	-4.68466759E+01	-4.61644196E+01	-4.49135395E+01	-4.47530307E+01	-4.42819496E+01	
-1.77000000E+02	-4.44195362E+01	-4.82412930E+01	-4.73107038E+01	-4.65935492E+01	-4.52367553E+01	-4.50571852E+01	-4.45547028E+01	
-1.76000000E+02	-4.47386816E+01	-4.87915224E+01	-4.78519522E+01	-4.70947838E+01	-4.56184665E+01	-4.54170350E+01	-4.48782082E+01	
-1.75000000E+02	-4.51099748E+01	-4.94362942E+01	-4.84799913E+01	-4.76763433E+01	-4.60629775E+01	-4.58365297E+01	-4.52547117E+01	
-1.74000000E+02	-4.55356749E+01	-5.01899195E+01	-4.92065548E+01	-4.83480728E+01	-4.65759804E+01	-4.63205105E+01	-4.56876407E+01	
-1.73000000E+02	-4.60197828E+01	-5.10718358E+01	-5.00473366E+01	-4.91233799E+01	-4.71645690E+01	-4.68747317E+01	-4.61815163E+01	
-1.72000000E+02	-4.65671934E+01	-5.21083952E+01	-5.10230250E+01	-5.00197884E+01	-4.78376327E+01	-4.75068179E+01	-4.67411252E+01	
-1.71000000E+02	-4.71844426E+01	-5.33372086E+01	-5.21621415E+01	-5.10612734E+01	-4.86074750E+01	-4.82272870E+01	-4.73739663E+01	
-1.70000000E+02	-4.78795680E+01	-5.48138294E+01	-5.35063283E+01	-5.22811859E+01	-4.94897307E+01	-4.90488025E+01	-4.80890553E+01	
-1.69000000E+02	-4.86636625E+01	-5.66255494E+01	-5.51169354E+01	-5.37296573E+01	-5.05060106E+01	-4.99896331E+01	-4.88986544E+01	
-1.68000000E+02	-4.95534732E+01	-5.89156443E+01	-5.70947385E+01	-5.54868348E+01	-5.16878686E+01	-5.10754764E+01	-4.98206792E+01	
-1.67000000E+02	-5.05703118E+01	-6.19280277E+01	-5.96209702E+01	-5.76912001E+01	-5.30822871E+01	-5.23441623E+01	-5.08809729E+01	
-1.66000000E+02	-5.17518821E+01	-6.59414458E+01	-6.30658080E+01	-6.06243364E+01	-5.47639258E+01	-5.38561126E+01	-5.21171009E+01	
-1.65000000E+02	-5.31532765E+01	-6.91862838E+01	-6.83089674E+01	-6.49937685E+01	-5.68586611E+01	-5.57084470E+01	-5.35928604E+01	
-1.64000000E+02	-5.48639197E+01	-6.63660044E+01	-7.47775232E+01	-7.38239545E+01	-5.95943369E+01	-5.80765906E+01	-5.54054411E+01	
-1.63000000E+02	-5.70432299E+01	-6.24138700E+01	-6.89363667E+01	-7.58214140E+01	-6.33485192E+01	-6.12778882E+01	-5.77287945E+01	
-1.62000000E+02	-5.99658643E+01	-5.94382867E+01	-6.38719742E+01	-6.58811778E+01	-6.76285515E+01	-6.56439847E+01	-6.08337725E+01	
-1.61000000E+02	-6.38951058E+01	-5.71665381E+01	-6.06132615E+01	-6.13434874E+01	-6.59287199E+01	-6.76028862E+01	-6.46642124E+01	
-1.60000000E+02	-6.61447673E+01	-5.53330149E+01	-5.82169040E+01	-5.83391333E+01	-6.12337311E+01	-6.30291523E+01	-6.52108857E+01	
-1.59000000E+02	-6.21826810E+01	-5.37774318E+01	-5.62775112E+01	-5.60404600E+01	-5.76314657E+01	-5.88146949E+01	-6.10147336E+01	
-1.58000000E+02	-5.79399715E+01	-5.24011779E+01	-5.45940523E+01	-5.41313581E+01	-5.48775098E+01	-5.56688188E+01	-5.71666940E+01	
-1.57000000E+02	-5.47102488E+01	-5.11427985E+01	-5.30609087E+01	-5.24606791E+01	-5.26511850E+01	-5.31926357E+01	-5.41902953E+01	
-1.56000000E+02	-5.21746833E+01	-4.99654400E+01	-5.16247197E+01	-5.09516258E+01	-5.07771574E+01	-5.11502101E+01	-5.18118377E+01	
-1.55000000E+02	-5.01033700E+01	-4.88506646E+01	-5.02642493E+01	-4.95662306E+01	-4.91583475E+01	-4.94132998E+01	-4.98431262E+01	
-1.54000000E+02	-4.83660252E+01	-4.77928474E+01	-4.89772348E+01	-4.82888766E+01	-4.77415386E+01	-4.79113903E+01	-4.81781133E+01	
-1.53000000E+02	-4.68882760E+01	-4.67945621E+01	-4.77716665E+01	-4.71154444E+01	-4.64954056E+01	-4.66036005E+01	-4.67548146E+01	
