Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.80000000E+02	-4.37518833E+01	-4.70639508E+01	-4.61242865E+01	-4.54990533E+01	-4.44303802E+01	-4.43021971E+01	-4.38812022E+01	
-1.79000000E+02	-4.39273977E+01	-4.73852142E+01	-4.64528061E+01	-4.58006703E+01	-4.46457173E+01	-4.45020967E+01	-4.40577949E+01	
-1.78000000E+02	-4.41494872E+01	-4.77759628E+01	-4.68460524E+01	-4.61637016E+01	-4.49137415E+01	-4.47531171E+01	-4.42820154E+01	
-1.77000000E+02	-4.44192328E+01	-4.82422243E+01	-4.73094667E+01	-4.65927091E+01	-4.52369569E+01	-4.50571616E+01	-4.45546243E+01	
-1.76000000E+02	-4.47385265E+01	-4.87923362E+01	-4.78501730E+01	-4.70940439E+01	-4.56186402E+01	-4.54170724E+01	-4.48781742E+01	
-1.75000000E+02	-4.51095776E+01	-4.94369894E+01	-4.84772411E+01	-4.76753058E+01	-4.60631619E+01	-4.58365213E+01	-4.52545525E+01	
-1.74000000E+02	-4.55347770E+01	-5.01904109E+01	-4.92027345E+01	-4.83470532E+01	-4.65761272E+01	-4.63203021E+01	-4.56880137E+01	
-1.73000000E+02	-4.60191764E+01	-5.10719374E+01	-5.00417845E+01	-4.91222277E+01	-4.71647170E+01	-4.68744699E+01	-4.61818414E+01	
-1.72000000E+02	-4.65669382E+01	-5.21080267E+01	-5.10154856E+01	-5.00187585E+01	-4.78380123E+01	-4.75067861E+01	-4.67415525E+01	
-1.71000000E+02	-4.71841462E+01	-5.33361525E+01	-5.21520171E+01	-5.10601741E+01	-4.86078838E+01	-4.82270057E+01	-4.73739699E+01	
-1.70000000E+02	-4.78792224E+01	-5.48119195E+01	-5.34919240E+01	-5.22800787E+01	-4.94900174E+01	-4.90484734E+01	-4.80891369E+01	
-1.69000000E+02	-4.86634039E+01	-5.66222077E+01	-5.50967453E+01	-5.37288853E+01	-5.05065643E+01	-4.99893307E+01	-4.88988419E+01	
-1.68000000E+02	-4.95530013E+01	-5.89099159E+01	-5.70655377E+01	-5.54859267E+01	-5.16883771E+01	-5.10749600E+01	-4.98206208E+01	
-1.67000000E+02	-5.05706192E+01	-6.19175400E+01	-5.95764342E+01	-5.76911528E+01	-5.30826399E+01	-5.23436049E+01	-5.08809230E+01	
-1.66000000E+02	-5.17516261E+01	-6.59226433E+01	-6.29915597E+01	-6.06251414E+01	-5.47646862E+01	-5.38548600E+01	-5.21176468E+01	
-1.65000000E+02	-5.31525449E+01	-6.91715349E+01	-6.81686354E+01	-6.50002409E+01	-5.68600929E+01	-5.57070444E+01	-5.35913303E+01	
-1.64000000E+02	-5.48641548E+01	-6.63762950E+01	-7.46916082E+01	-7.38500978E+01	-5.95961579E+01	-5.80749515E+01	-5.54039019E+01	
-1.63000000E+02	-5.70431460E+01	-6.24275300E+01	-6.90750100E+01	-7.58107264E+01	-6.33521148E+01	-6.12752778E+01	-5.77269683E+01	
-1.62000000E+02	-5.99644416E+01	-5.94502993E+01	-6.39665938E+01	-6.58694098E+01	-6.76357004E+01	-6.56364775E+01	-6.08291686E+01	
-1.61000000E+02	-6.38950795E+01	-5.71762252E+01	-6.06816230E+01	-6.13340964E+01	-6.59326773E+01	-6.75947148E+01	-6.46545611E+01	
-1.60000000E+02	-6.61314943E+01	-5.53415973E+01	-5.82685616E+01	-5.83310330E+01	-6.12347659E+01	-6.30289160E+01	-6.51979529E+01	
-1.59000000E+02	-6.21752585E+01	-5.37847379E+01	-5.63162491E+01	-5.60334719E+01	-5.76328774E+01	-5.88140597E+01	-6.10103554E+01	
-1.58000000E+02	-5.79385821E+01	-5.24071281E+01	-5.46225831E+01	-5.41249739E+01	-5.48786774E+01	-5.56680185E+01	-5.71638867E+01	
-1.57000000E+02	-5.47084493E+01	-5.11475028E+01	-5.30808605E+01	-5.24550205E+01	-5.26523545E+01	-5.31923229E+01	-5.41877057E+01	
-1.56000000E+02	-5.21733197E+01	-4.99692736E+01	-5.16377061E+01	-5.09467053E+01	-5.07777796E+01	-5.11495983E+01	-5.18100288E+01	
-1.55000000E+02	-5.01026196E+01	-4.88533091E+01	-5.02713887E+01	-4.95620176E+01	-4.91591713E+01	-4.94126230E+01	-4.98421751E+01	
-1.54000000E+02	-4.83652560E+01	-4.77945881E+01	-4.89801319E+01	-4.82851429E+01	-4.77420909E+01	-4.79106641E+01	-4.81779054E+01	
-1.53000000E+02	-4.68873270E+01	-4.67955973E+01	-4.77714226E+01	-4.71121820E+01	-4.64960488E+01	-4.66029496E+01	-4.67540572E+01	
-1.52000000E+02	-4.56270541E+01	-4.58643491E+01	-4.66562330E+01	-4.60459447E+01	-4.54038295E+01	-4.54662477E+01	-4.55336657E+01	
-1.51000000E+02	-4.45578657E+01	-4.50116854E+01	-4.56467818E+01	-4.50917545E+01	-4.44565262E+01	-4.44873922E+01	-4.44959501E+01	
-1.50000000E+02	-4.36642274E+01	-4.42486182E+01	-4.47536419E+01	-4.42567503E+01	-4.36507763E+01	-4.36597309E+01	-4.36264811E+01	
-1.49000000E+02	-4.29391256E+01	-4.35858324E+01	-4.39862539E+01	-4.35482134E+01	-4.29866451E+01	-4.29814019E+01	-4.29204224E+01	
-1.48000000E+02	-4.23797306E+01	-4.30329808E+01	-4.33524445E+01	-4.29728672E+01	-4.24661016E+01	-4.24533278E+01	-4.23747363E+01	
-1.47000000E+02	-4.19855409E+01	-4.25985414E+01	-4.28590863E+01	-4.25379846E+01	-4.20932760E+01	-4.20783566E+01	-4.19915558E+01	
-1.46000000E+02	-4.17607737E+01	-4.22894828E+01	-4.25117970E+01	-4.22495142E+01	-4.18729490E+01	-4.18611070E+01	-4.17740724E+01	
