Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.80000000E+02	-6.42693913E+01	-5.72074035E+01	-5.80403296E+01	-5.86094828E+01	-6.10960726E+01	-6.31755947E+01	-6.41386854E+01	
-1.79000000E+02	-6.55612927E+01	-5.75518896E+01	-5.84328949E+01	-5.90613996E+01	-6.19460870E+01	-6.44439874E+01	-6.54652111E+01	
-1.78000000E+02	-6.71293202E+01	-5.79628053E+01	-5.89062720E+01	-5.96078906E+01	-6.29911957E+01	-6.61011431E+01	-6.71236950E+01	
-1.77000000E+02	-6.89025360E+01	-5.84477844E+01	-5.94714589E+01	-6.02634863E+01	-6.42808615E+01	-6.83650480E+01	-6.91343680E+01	
-1.76000000E+02	-7.04533702E+01	-5.90165398E+01	-6.01416286E+01	-6.10471492E+01	-6.58871778E+01	-7.17284836E+01	-7.12030974E+01	
-1.75000000E+02	-7.07050680E+01	-5.96794377E+01	-6.09355189E+01	-6.19865121E+01	-6.78913902E+01	-7.77964175E+01	-7.20681142E+01	
-1.74000000E+02	-6.91996322E+01	-6.04515613E+01	-6.18780698E+01	-6.31204977E+01	-7.02903916E+01	-9.19142741E+01	-7.05644838E+01	
-1.73000000E+02	-6.69459122E+01	-6.13522843E+01	-6.30026959E+01	-6.45073011E+01	-7.24683692E+01	-7.59955260E+01	-6.79892808E+01	
-1.72000000E+02	-6.47483126E+01	-6.24077224E+01	-6.43611344E+01	-6.62411992E+01	-7.24487117E+01	-7.02208668E+01	-6.55231972E+01	
-1.71000000E+02	-6.28172528E+01	-6.36539980E+01	-6.60349321E+01	-6.84878891E+01	-7.00790381E+01	-6.66992096E+01	-6.34164643E+01	
-1.70000000E+02	-6.11520901E+01	-6.51430647E+01	-6.81573169E+01	-7.15770521E+01	-6.73800904E+01	-6.41649261E+01	-6.16429387E+01	
-1.69000000E+02	-5.97244956E+01	-6.69614079E+01	-7.09898919E+01	-7.63046935E+01	-6.50668642E+01	-6.21972465E+01	-6.01376619E+01	
-1.68000000E+02	-5.84923723E+01	-6.92505967E+01	-7.51362814E+01	-8.37664971E+01	-6.31668202E+01	-6.06046257E+01	-5.88493327E+01	
-1.67000000E+02	-5.74257022E+01	-7.22958411E+01	-8.22805498E+01	-7.94602990E+01	-6.16015005E+01	-5.92852796E+01	-5.77459789E+01	
-1.66000000E+02	-5.65032893E+01	-7.67941662E+01	-8.40404030E+01	-7.36945523E+01	-6.03014362E+01	-5.81769050E+01	-5.67937542E+01	
-1.65000000E+02	-5.57068070E+01	-8.54769010E+01	-7.65904085E+01	-7.02298195E+01	-5.92164796E+01	-5.72423706E+01	-5.59771304E+01	
-1.64000000E+02	-5.50253484E+01	-8.79845178E+01	-7.25370338E+01	-6.78871681E+01	-5.83122322E+01	-5.64550457E+01	-5.52786068E+01	
-1.63000000E+02	-5.44479179E+01	-7.87814886E+01	-6.99831872E+01	-6.61953190E+01	-5.75629253E+01	-5.57958821E+01	-5.46897682E+01	
-1.62000000E+02	-5.39697388E+01	-7.47765691E+01	-6.82332801E+01	-6.49402929E+01	-5.69513630E+01	-5.52533759E+01	-5.42005521E+01	
-1.61000000E+02	-5.35830108E+01	-7.24298692E+01	-6.69982872E+01	-6.40089761E+01	-5.64644031E+01	-5.48174075E+01	-5.38062135E+01	
-1.60000000E+02	-5.32834973E+01	-7.09324826E+01	-6.61382729E+01	-6.33323880E+01	-5.60916619E+01	-5.44802316E+01	-5.35009662E+01	
-1.59000000E+02	-5.30676890E+01	-6.99718979E+01	-6.55657837E+01	-6.28677826E+01	-5.58249116E+01	-5.42344842E+01	-5.32789664E+01	
-1.58000000E+02	-5.29297590E+01	-6.93810498E+01	-6.52235592E+01	-6.25811441E+01	-5.56544327E+01	-5.40738660E+01	-5.31373761E+01	
-1.57000000E+02	-5.28649129E+01	-6.90526027E+01	-6.50676134E+01	-6.24442296E+01	-5.55729834E+01	-5.39913469E+01	-5.30697434E+01	
-1.56000000E+02	-5.28680206E+01	-6.88827594E+01	-6.50494147E+01	-6.24254414E+01	-5.55696101E+01	-5.39781210E+01	-5.30677561E+01	
-1.55000000E+02	-5.29313140E+01	-6.87723885E+01	-6.51198140E+01	-6.24935620E+01	-5.56308951E+01	-5.40252083E+01	-5.31241365E+01	
-1.54000000E+02	-5.30439525E+01	-6.86220015E+01	-6.52147383E+01	-6.26059634E+01	-5.57412010E+01	-5.41195516E+01	-5.32284051E+01	
-1.53000000E+02	-5.31964516E+01	-6.83615132E+01	-6.52739735E+01	-6.27198993E+01	-5.58814062E+01	-5.42470727E+01	-5.33710923E+01	
-1.52000000E+02	-5.33752533E+01	-6.79860320E+01	-6.52396825E+01	-6.27931063E+01	-5.60301799E+01	-5.43938040E+01	-5.35378102E+01	
