Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam4_Carbide [dBsm]"	"2Blades_SEP_lam10_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam60_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	
-1.80000000E+02	-4.77915368E+01	-4.65524264E+01	-4.54568053E+01	-4.43107041E+01	-4.37524476E+01	-4.38807960E+01	-4.61060013E+01	-4.44610092E+01	
-1.79000000E+02	-4.80096818E+01	-4.68902284E+01	-4.57581874E+01	-4.45099502E+01	-4.39280934E+01	-4.40574027E+01	-4.64255184E+01	-4.46783351E+01	
-1.78000000E+02	-4.82922820E+01	-4.72967569E+01	-4.61201526E+01	-4.47602351E+01	-4.41504890E+01	-4.42816266E+01	-4.68088799E+01	-4.49481838E+01	
-1.77000000E+02	-4.86424952E+01	-4.77785555E+01	-4.65486618E+01	-4.50636771E+01	-4.44204010E+01	-4.45545297E+01	-4.72616480E+01	-4.52735747E+01	
-1.76000000E+02	-4.90643563E+01	-4.83440344E+01	-4.70488550E+01	-4.54229326E+01	-4.47398702E+01	-4.48780116E+01	-4.77903523E+01	-4.56577501E+01	
-1.75000000E+02	-4.95630994E+01	-4.90045846E+01	-4.76295039E+01	-4.58417035E+01	-4.51111240E+01	-4.52547150E+01	-4.84040086E+01	-4.61040128E+01	
-1.74000000E+02	-5.01453829E+01	-4.97749054E+01	-4.82997411E+01	-4.63248951E+01	-4.55370012E+01	-4.56877353E+01	-4.91139718E+01	-4.66203480E+01	
-1.73000000E+02	-5.08184509E+01	-5.06750953E+01	-4.90724115E+01	-4.68783825E+01	-4.60212844E+01	-4.61812715E+01	-4.99352956E+01	-4.72123958E+01	
-1.72000000E+02	-5.15901426E+01	-5.17331746E+01	-4.99673203E+01	-4.75100581E+01	-4.65694286E+01	-4.67409058E+01	-5.08875645E+01	-4.78903636E+01	
-1.71000000E+02	-5.24666534E+01	-5.29887749E+01	-5.10077587E+01	-4.82295490E+01	-4.71874714E+01	-4.73732005E+01	-5.19982353E+01	-4.86653389E+01	
-1.70000000E+02	-5.34490240E+01	-5.45022959E+01	-5.22232118E+01	-4.90503698E+01	-4.78818606E+01	-4.80879738E+01	-5.33057531E+01	-4.95541566E+01	
-1.69000000E+02	-5.45232859E+01	-5.63711631E+01	-5.36683492E+01	-4.99905956E+01	-4.86664547E+01	-4.88971887E+01	-5.48684004E+01	-5.05775478E+01	
-1.68000000E+02	-5.56402693E+01	-5.87683212E+01	-5.54174310E+01	-5.10754897E+01	-4.95564259E+01	-4.98185797E+01	-5.67793720E+01	-5.17688377E+01	
-1.67000000E+02	-5.66814322E+01	-6.20394682E+01	-5.76077143E+01	-5.23434843E+01	-5.05745879E+01	-5.08775382E+01	-5.92042838E+01	-5.31797433E+01	
-1.66000000E+02	-5.74266993E+01	-6.69540083E+01	-6.05226758E+01	-5.38542073E+01	-5.17570096E+01	-5.21126031E+01	-6.24808433E+01	-5.48803475E+01	
-1.65000000E+02	-5.76107331E+01	-7.29503623E+01	-6.48391999E+01	-5.57056826E+01	-5.31587655E+01	-5.35851627E+01	-6.74240437E+01	-5.70099449E+01	
-1.64000000E+02	-5.71238816E+01	-6.79931629E+01	-7.34491183E+01	-5.80701625E+01	-5.48706499E+01	-5.53954443E+01	-7.49595930E+01	-5.98127086E+01	
-1.63000000E+02	-5.61234009E+01	-6.29382007E+01	-7.65477581E+01	-6.12578989E+01	-5.70531678E+01	-5.77135936E+01	-7.01559420E+01	-6.37158704E+01	
-1.62000000E+02	-5.48709157E+01	-5.96536386E+01	-6.60923947E+01	-6.55505192E+01	-5.99786082E+01	-6.08134289E+01	-6.44942385E+01	-6.82151825E+01	
-1.61000000E+02	-5.35566448E+01	-5.72737919E+01	-6.14858245E+01	-6.73736488E+01	-6.39093761E+01	-6.46468460E+01	-6.09814435E+01	-6.60837095E+01	
-1.60000000E+02	-5.22744232E+01	-5.53997702E+01	-5.84570617E+01	-6.29024111E+01	-6.61339007E+01	-6.52417232E+01	-5.84498321E+01	-6.11940239E+01	
-1.59000000E+02	-5.10581645E+01	-5.38298906E+01	-5.61502938E+01	-5.87412765E+01	-6.21660021E+01	-6.10529508E+01	-5.64268665E+01	-5.75718615E+01	
-1.58000000E+02	-4.99151182E+01	-5.24482234E+01	-5.42394764E+01	-5.56169557E+01	-5.79284759E+01	-5.71930306E+01	-5.46897604E+01	-5.48199971E+01	
-1.57000000E+02	-4.88421439E+01	-5.11851234E+01	-5.25673111E+01	-5.31522715E+01	-5.47008394E+01	-5.42097235E+01	-5.31221379E+01	-5.26034783E+01	
-1.56000000E+02	-4.78343252E+01	-5.00000944E+01	-5.10595981E+01	-5.11170564E+01	-5.21689006E+01	-5.18268228E+01	-5.16656030E+01	-5.07224502E+01	
-1.55000000E+02	-4.68885042E+01	-4.88729506E+01	-4.96767472E+01	-4.93852999E+01	-5.00988578E+01	-4.98565644E+01	-5.02948100E+01	-4.91071670E+01	
-1.54000000E+02	-4.60044306E+01	-4.77980484E+01	-4.83979291E+01	-4.78873301E+01	-4.83618915E+01	-4.81897187E+01	-4.90042487E+01	-4.76982153E+01	
-1.53000000E+02	-4.51842489E+01	-4.67797948E+01	-4.72230453E+01	-4.65825455E+01	-4.68852956E+01	-4.67640815E+01	-4.77988917E+01	-4.64494423E+01	
-1.52000000E+02	-4.44323703E+01	-4.58277293E+01	-4.61546241E+01	-4.54484761E+01	-4.56252105E+01	-4.55428650E+01	-4.66888973E+01	-4.53601328E+01	
-1.51000000E+02	-4.37550430E+01	-4.49537034E+01	-4.51977375E+01	-4.44718560E+01	-4.45558441E+01	-4.45037162E+01	-4.56847035E+01	-4.44153312E+01	
-1.50000000E+02	-4.31594262E+01	-4.41706820E+01	-4.43622075E+01	-4.36462477E+01	-4.36626041E+01	-4.36338311E+01	-4.47967228E+01	-4.36110238E+01	
-1.49000000E+02	-4.26533091E+01	-4.34895960E+01	-4.36516237E+01	-4.29696631E+01	-4.29380812E+01	-4.29269243E+01	-4.40337886E+01	-4.29469303E+01	
-1.48000000E+02	-4.22444970E+01	-4.29213924E+01	-4.30715910E+01	-4.24429155E+01	-4.23784722E+01	-4.23813748E+01	-4.34036157E+01	-4.24295783E+01	
-1.47000000E+02	-4.19402120E+01	-4.24748541E+01	-4.26388094E+01	-4.20691911E+01	-4.19844388E+01	-4.19978639E+01	-4.29130291E+01	-4.20607479E+01	
-1.46000000E+02	-4.17467449E+01	-4.21571342E+01	-4.23490261E+01	-4.18529293E+01	-4.17598165E+01	-4.17800683E+01	-4.25679796E+01	-4.18453501E+01	
-1.45000000E+02	-4.16687696E+01	-4.19735853E+01	-4.22094022E+01	-4.17986777E+01	-4.17076293E+01	-4.17320217E+01	-4.23722239E+01	-4.17888914E+01	
-1.44000000E+02	-4.17081312E+01	-4.19260502E+01	-4.22254255E+01	-4.19101335E+01	-4.18312051E+01	-4.18573041E+01	-4.23274648E+01	-4.18906231E+01	
-1.43000000E+02	-4.18617900E+01	-4.20117187E+01	-4.23916584E+01	-4.21859071E+01	-4.21314209E+01	-4.21553573E+01	-4.24302563E+01	-4.21569118E+01	
-1.42000000E+02	-4.21196916E+01	-4.22199084E+01	-4.26987703E+01	-4.26140690E+01	-4.25969643E+01	-4.26146627E+01	-4.26686131E+01	-4.25676695E+01	
-1.41000000E+02	-4.24609091E+01	-4.25271531E+01	-4.31125514E+01	-4.31614812E+01	-4.31924940E+01	-4.32003926E+01	-4.30158633E+01	-4.31006312E+01	
-1.40000000E+02	-4.28513544E+01	-4.28931399E+01	-4.35788689E+01	-4.37570237E+01	-4.38393797E+01	-4.38351314E+01	-4.34236549E+01	-4.36811230E+01	
