Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam4_Carbide [dBsm]"	"2Blades_SEP_lam10_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam60_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	
-1.80000000E+02	-4.77709833E+01	-4.65555462E+01	-4.54579038E+01	-4.43105592E+01	-4.37520173E+01	-4.38809651E+01	-4.61059068E+01	-4.44598083E+01	
-1.79000000E+02	-4.79896089E+01	-4.68928049E+01	-4.57588580E+01	-4.45098254E+01	-4.39279038E+01	-4.40576167E+01	-4.64254885E+01	-4.46778595E+01	
-1.78000000E+02	-4.82727088E+01	-4.72987771E+01	-4.61209226E+01	-4.47601915E+01	-4.41501888E+01	-4.42818333E+01	-4.68093715E+01	-4.49494311E+01	
-1.77000000E+02	-4.86233615E+01	-4.77798125E+01	-4.65496524E+01	-4.50635617E+01	-4.44200705E+01	-4.45547230E+01	-4.72621066E+01	-4.52740659E+01	
-1.76000000E+02	-4.90457584E+01	-4.83444128E+01	-4.70499693E+01	-4.54227712E+01	-4.47395679E+01	-4.48782427E+01	-4.77910771E+01	-4.56578303E+01	
-1.75000000E+02	-4.95454021E+01	-4.90037861E+01	-4.76307072E+01	-4.58418065E+01	-4.51108044E+01	-4.52547709E+01	-4.84049364E+01	-4.61052177E+01	
-1.74000000E+02	-5.01287094E+01	-4.97727113E+01	-4.83015147E+01	-4.63248590E+01	-4.55367203E+01	-4.56877082E+01	-4.91149715E+01	-4.66219518E+01	
-1.73000000E+02	-5.08035594E+01	-5.06712808E+01	-4.90750882E+01	-4.68784551E+01	-4.60211764E+01	-4.61814570E+01	-4.99368280E+01	-4.72134614E+01	
-1.72000000E+02	-5.15776141E+01	-5.17270136E+01	-4.99699775E+01	-4.75100421E+01	-4.65691059E+01	-4.67411490E+01	-5.08891936E+01	-4.78901860E+01	
-1.71000000E+02	-5.24583797E+01	-5.29795056E+01	-5.10085975E+01	-4.82296018E+01	-4.71864102E+01	-4.73734049E+01	-5.20001645E+01	-4.86648402E+01	
