Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam4_Carbide [dBsm]"	"2Blades_SEP_lam10_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam60_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	
-1.80000000E+02	-5.60357382E+01	-5.76926389E+01	-5.83977705E+01	-6.30282601E+01	-6.43215632E+01	-6.41384678E+01	-5.78085832E+01	-6.10719205E+01	
-1.79000000E+02	-5.63378742E+01	-5.80630146E+01	-5.88364050E+01	-6.42734382E+01	-6.56184021E+01	-6.54594823E+01	-5.81863829E+01	-6.19271281E+01	
-1.78000000E+02	-5.66963063E+01	-5.85069894E+01	-5.93652581E+01	-6.58946240E+01	-6.71882385E+01	-6.71021726E+01	-5.86434495E+01	-6.29943419E+01	
-1.77000000E+02	-5.71161856E+01	-5.90330633E+01	-6.00002534E+01	-6.80954585E+01	-6.89623191E+01	-6.90787405E+01	-5.91894717E+01	-6.42715114E+01	
-1.76000000E+02	-5.76033950E+01	-5.96521818E+01	-6.07526362E+01	-7.13265415E+01	-7.04770232E+01	-7.10804366E+01	-5.98376435E+01	-6.58834057E+01	
-1.75000000E+02	-5.81654408E+01	-6.03782464E+01	-6.16542218E+01	-7.69476694E+01	-7.06676599E+01	-7.18768723E+01	-6.06043375E+01	-6.79072134E+01	
-1.74000000E+02	-5.88116353E+01	-6.12304410E+01	-6.27342994E+01	-8.94632473E+01	-6.91221957E+01	-7.03986574E+01	-6.15126435E+01	-7.03767015E+01	
-1.73000000E+02	-5.95529887E+01	-6.22322666E+01	-6.40371457E+01	-7.64935566E+01	-6.68763819E+01	-6.78793655E+01	-6.25948329E+01	-7.27537541E+01	
-1.72000000E+02	-6.04040155E+01	-6.34200039E+01	-6.56543513E+01	-7.05039741E+01	-6.46884679E+01	-6.54535051E+01	-6.38964904E+01	-7.28986417E+01	
-1.71000000E+02	-6.13826977E+01	-6.48435679E+01	-6.76980024E+01	-6.68925616E+01	-6.27658591E+01	-6.33688378E+01	-6.54891107E+01	-7.03774112E+01	
-1.70000000E+02	-6.25130991E+01	-6.65838004E+01	-7.04274473E+01	-6.43113895E+01	-6.11135076E+01	-6.16062059E+01	-6.74938179E+01	-6.75839580E+01	
-1.69000000E+02	-6.38279547E+01	-6.87794914E+01	-7.41923459E+01	-6.23147225E+01	-5.96905689E+01	-6.01098222E+01	-7.01357262E+01	-6.52071526E+01	
-1.68000000E+02	-6.53735392E+01	-7.16948340E+01	-7.91712867E+01	-6.07025543E+01	-5.84628039E+01	-5.88291498E+01	-7.39343818E+01	-6.33014619E+01	
-1.67000000E+02	-6.72187431E+01	-7.59770752E+01	-7.90342534E+01	-5.93688053E+01	-5.73996947E+01	-5.77281167E+01	-8.06162692E+01	-6.17123371E+01	
-1.66000000E+02	-6.94744311E+01	-8.40798551E+01	-7.42703794E+01	-5.82502517E+01	-5.64804515E+01	-5.67795934E+01	-9.39986683E+01	-6.04034964E+01	
-1.65000000E+02	-7.23400436E+01	-8.93455399E+01	-7.07730383E+01	-5.73072087E+01	-5.56858991E+01	-5.59641263E+01	-7.88974577E+01	-5.93034144E+01	
-1.64000000E+02	-7.62352266E+01	-7.87228802E+01	-6.83715446E+01	-5.65133869E+01	-5.50053860E+01	-5.52675060E+01	-7.37456771E+01	-5.84012578E+01	
-1.63000000E+02	-8.23019649E+01	-7.44077396E+01	-6.66131521E+01	-5.58491137E+01	-5.44302641E+01	-5.46797445E+01	-7.07926095E+01	-5.76514389E+01	
-1.62000000E+02	-9.22543595E+01	-7.18935063E+01	-6.53085021E+01	-5.53020299E+01	-5.39524593E+01	-5.41923918E+01	-6.88355951E+01	-5.70373856E+01	
-1.61000000E+02	-8.43891351E+01	-7.02789447E+01	-6.43401726E+01	-5.48622549E+01	-5.35669031E+01	-5.37988739E+01	-6.74771903E+01	-5.65643627E+01	
-1.60000000E+02	-7.96031685E+01	-6.92367892E+01	-6.36573809E+01	-5.45213333E+01	-5.32683916E+01	-5.34948207E+01	-6.65280717E+01	-5.61936282E+01	
-1.59000000E+02	-7.71542431E+01	-6.86113778E+01	-6.31688726E+01	-5.42726782E+01	-5.30528500E+01	-5.32742230E+01	-6.58893713E+01	-5.59315694E+01	
-1.58000000E+02	-7.57803696E+01	-6.83107755E+01	-6.28747403E+01	-5.41098282E+01	-5.29155380E+01	-5.31327282E+01	-6.54906906E+01	-5.57636049E+01	
-1.57000000E+02	-7.49699015E+01	-6.82708186E+01	-6.27296319E+01	-5.40245356E+01	-5.28515963E+01	-5.30647701E+01	-6.52798854E+01	-5.56807090E+01	
-1.56000000E+02	-7.43903236E+01	-6.84282544E+01	-6.27170195E+01	-5.40085725E+01	-5.28548180E+01	-5.30636846E+01	-6.52023919E+01	-5.56763612E+01	
-1.55000000E+02	-7.37628134E+01	-6.86976599E+01	-6.27841710E+01	-5.40524534E+01	-5.29177962E+01	-5.31210458E+01	-6.52030518E+01	-5.57406052E+01	
-1.54000000E+02	-7.29015249E+01	-6.89740701E+01	-6.29041614E+01	-5.41442649E+01	-5.30306138E+01	-5.32263866E+01	-6.52190015E+01	-5.58574775E+01	
-1.53000000E+02	-7.18117549E+01	-6.91315914E+01	-6.30144595E+01	-5.42691271E+01	-5.31827668E+01	-5.33695065E+01	-6.51914769E+01	-5.59847354E+01	
-1.52000000E+02	-7.06447095E+01	-6.90868658E+01	-6.30749470E+01	-5.44130874E+01	-5.33616403E+01	-5.35370046E+01	-6.50762852E+01	-5.61309298E+01	
-1.51000000E+02	-6.95815518E+01	-6.88500419E+01	-6.30516562E+01	-5.45615198E+01	-5.35538755E+01	-5.37161059E+01	-6.48662314E+01	-5.62483923E+01	
-1.50000000E+02	-6.87591954E+01	-6.85141397E+01	-6.29356748E+01	-5.47013305E+01	-5.37475852E+01	-5.38954485E+01	-6.45805266E+01	-5.63418366E+01	
-1.49000000E+02	-6.82650138E+01	-6.81852818E+01	-6.27237483E+01	-5.48229221E+01	-5.39306909E+01	-5.40654968E+01	-6.42490298E+01	-5.63793936E+01	
-1.48000000E+02	-6.81520281E+01	-6.79111950E+01	-6.24086101E+01	-5.49192753E+01	-5.40940018E+01	-5.42174651E+01	-6.38759463E+01	-5.63687406E+01	
-1.47000000E+02	-6.84190902E+01	-6.76206387E+01	-6.19829242E+01	-5.49834141E+01	-5.42248979E+01	-5.43427457E+01	-6.34269617E+01	-5.62949037E+01	
-1.46000000E+02	-6.88938110E+01	-6.70822301E+01	-6.14073991E+01	-5.50054852E+01	-5.43113820E+01	-5.44301172E+01	-6.28181896E+01	-5.61588260E+01	
-1.45000000E+02	-6.89428197E+01	-6.60069241E+01	-6.06429693E+01	-5.49718296E+01	-5.43346262E+01	-5.44617825E+01	-6.19534741E+01	-5.59388581E+01	
-1.44000000E+02	-6.76310400E+01	-6.43237421E+01	-5.96666337E+01	-5.48619365E+01	-5.42743322E+01	-5.44157862E+01	-6.07970749E+01	-5.56399984E+01	
-1.43000000E+02	-6.50888682E+01	-6.22724796E+01	-5.85165090E+01	-5.46588972E+01	-5.41091688E+01	-5.42708026E+01	-5.94087484E+01	-5.52419209E+01	
-1.42000000E+02	-6.22685661E+01	-6.01602427E+01	-5.72475724E+01	-5.43547053E+01	-5.38339947E+01	-5.40149261E+01	-5.79094709E+01	-5.47611020E+01	
-1.41000000E+02	-5.96830515E+01	-5.81749038E+01	-5.59751516E+01	-5.39589214E+01	-5.34555743E+01	-5.36539023E+01	-5.64195209E+01	-5.42058801E+01	
-1.40000000E+02	-5.74478191E+01	-5.63948344E+01	-5.47544371E+01	-5.35001017E+01	-5.30027324E+01	-5.32153843E+01	-5.50204814E+01	-5.36233181E+01	
